idpedido,pagamento,tipos,parcelas,valor
fffe41c64501cc87c801fd61db3f6244,credit_card,1,1,55.79
fffe41c64501cc87c801fd61db3f6244,credit_card,1,1,55.79
fffe18544ffabc95dfada21779c9644f,credit_card,1,3,64.71
fffe18544ffabc95dfada21779c9644f,credit_card,1,3,64.71
fffce4705a9662cd70adb13d4a31832d,credit_card,1,3,116.85
fffce4705a9662cd70adb13d4a31832d,credit_card,1,3,116.85
fffcd46ef2263f404302a634eb57f7eb,boleto,1,1,386.53
fffcd46ef2263f404302a634eb57f7eb,boleto,1,1,386.53
fffc94f6ce00a00581880bf54a75a037,boleto,1,1,343.4
fffc94f6ce00a00581880bf54a75a037,boleto,1,1,343.4
fffbee3b5462987e66fb49b1c5411df2,credit_card,1,3,139.88
fffbee3b5462987e66fb49b1c5411df2,credit_card,1,3,139.88
fffb9224b6fc7c43ebb0904318b10b5f,boleto,1,1,356.76
fffb9224b6fc7c43ebb0904318b10b5f,boleto,1,1,356.76
fffb2ef8874127f75b52b643880fd7e0,boleto,1,1,39.96
fffb2ef8874127f75b52b643880fd7e0,boleto,1,1,39.96
fffb0b1a50e65c449020434fa835e078,credit_card,1,1,15.86
fffb0b1a50e65c449020434fa835e078,credit_card,1,1,15.86
fffa82886406ccf10c7b4e35c4ff2788,credit_card,1,7,273.92
fffa82886406ccf10c7b4e35c4ff2788,credit_card,1,7,273.92
fff90cdcb3b2e6cfb397d05d562fd3fe,credit_card,1,1,101.73
fff90cdcb3b2e6cfb397d05d562fd3fe,credit_card,1,1,101.73
fff8287bbae429a99bb7e8c21d151c41,credit_card,1,4,456.28
fff8287bbae429a99bb7e8c21d151c41,credit_card,1,4,456.28
fff8286f77788ab8b55b2e5747fa7dd8,credit_card,1,4,40.27
fff8286f77788ab8b55b2e5747fa7dd8,credit_card,1,4,40.27
fff7c4452f050315db1b3f24d9df5fcd,credit_card,1,1,756.91
fff7c4452f050315db1b3f24d9df5fcd,credit_card,1,1,756.91
fff6b8ca971f8e3ec822e99d0f2d3d21,credit_card,1,3,215.83
fff6b8ca971f8e3ec822e99d0f2d3d21,credit_card,1,3,215.83
fff6889749958e42b47a7977a4cf0ea0,credit_card,1,10,123.6
fff6889749958e42b47a7977a4cf0ea0,credit_card,1,10,123.6
